year,month,national_compliant,who_compliant,total_subdistricts,national_pct,who_pct
2003,april,4256,1,5968,71.31367292225201,0.01675603217158177
2003,august,5968,11,5968,100,0.18431635388739945
2003,december,2948,2,5968,49.396782841823054,0.03351206434316354
2003,february,2879,1,5968,48.24061662198391,0.01675603217158177
2003,january,2342,0,5968,39.242627345844504,0
2003,july,5887,156,5968,98.64276139410187,2.613941018766756
2003,june,4786,32,5968,80.19436997319035,0.5361930294906166
2003,march,3394,1,5968,56.869973190348524,0.01675603217158177
2003,may,4376,4,5968,73.32439678284183,0.06702412868632708
2003,november,2980,1,5968,49.93297587131367,0.01675603217158177
2003,october,4253,41,5968,71.26340482573727,0.6869973190348526
2003,september,5958,16,5968,99.83243967828417,0.2680965147453083
2004,april,3924,0,5968,65.75067024128687,0
2004,august,5968,3,5968,100,0.05026809651474531
2004,december,2824,1,5968,47.31903485254691,0.01675603217158177
2004,february,2893,1,5968,48.47520107238606,0.01675603217158177
2004,january,2637,0,5968,44.18565683646112,0
2004,july,5909,19,5968,99.01139410187668,0.3183646112600536
2004,june,5091,11,5968,85.3049597855228,0.18431635388739945
2004,march,3410,1,5968,57.13806970509383,0.01675603217158177
2004,may,4334,1,5968,72.62064343163539,0.01675603217158177
2004,november,3027,2,5968,50.72050938337802,0.03351206434316354
2004,october,3994,26,5968,66.92359249329759,0.435656836461126
2004,september,5949,0,5968,99.68163538873995,0
2005,april,4195,3,5968,70.29155495978551,0.05026809651474531
2005,august,5968,11,5968,100,0.18431635388739945
2005,december,2481,1,5968,41.57171581769437,0.01675603217158177
2005,february,3160,0,5968,52.949061662198396,0
2005,january,2486,1,5968,41.65549597855228,0.01675603217158177
2005,july,5880,13,5968,98.5254691689008,0.217828418230563
2005,june,5185,1,5968,86.88002680965148,0.01675603217158177
2005,march,3504,2,5968,58.71313672922251,0.03351206434316354
2005,may,4635,2,5968,77.66420911528151,0.03351206434316354
2005,november,2422,2,5968,40.58310991957105,0.03351206434316354
2005,october,4354,7,5968,72.95576407506702,0.11729222520107238
2005,september,5961,3,5968,99.88270777479893,0.05026809651474531
2006,april,4002,3,5968,67.05764075067025,0.05026809651474531
2006,august,5968,6,5968,100,0.10053619302949061
2006,december,1800,1,5968,30.160857908847184,0.01675603217158177
2006,february,2518,3,5968,42.19168900804289,0.05026809651474531
2006,january,2107,0,5968,35.30495978552279,0
2006,july,5750,1,5968,96.34718498659517,0.01675603217158177
2006,june,4510,4,5968,75.56970509383379,0.06702412868632708
2006,march,3103,1,5968,51.99396782841823,0.01675603217158177
2006,may,4224,0,5968,70.77747989276139,0
2006,november,2528,2,5968,42.35924932975871,0.03351206434316354
2006,october,3935,10,5968,65.93498659517427,0.1675603217158177
2006,september,5964,4,5968,99.93297587131367,0.06702412868632708
2007,april,3722,1,5968,62.365951742627345,0.01675603217158177
2007,august,5968,5,5968,100,0.08378016085790885
2007,december,2165,1,5968,36.27680965147453,0.01675603217158177
2007,february,2486,1,5968,41.65549597855228,0.01675603217158177
2007,january,1553,0,5968,26.02211796246649,0
2007,july,5944,10,5968,99.59785522788204,0.1675603217158177
2007,june,5042,10,5968,84.48391420911528,0.1675603217158177
2007,march,2454,0,5968,41.11930294906166,0
2007,may,4454,2,5968,74.6313672922252,0.03351206434316354
2007,november,2682,1,5968,44.93967828418231,0.01675603217158177
2007,october,2876,7,5968,48.19034852546917,0.11729222520107238
2007,september,5909,11,5968,99.01139410187668,0.18431635388739945
2008,april,3361,0,5968,56.31702412868632,0
2008,august,5847,7,5968,97.97252010723861,0.11729222520107238
2008,december,1792,1,5968,30.02680965147453,0.01675603217158177
2008,february,2260,1,5968,37.86863270777479,0.01675603217158177
2008,january,1982,0,5968,33.21045576407507,0
2008,july,5767,18,5968,96.63203753351206,0.30160857908847183
2008,june,4208,51,5968,70.50938337801608,0.8545576407506703
2008,march,2500,2,5968,41.89008042895443,0.03351206434316354
2008,may,4014,0,5968,67.25871313672923,0
2008,november,1762,8,5968,29.524128686327078,0.13404825737265416
2008,october,3198,43,5968,53.5857908847185,0.7205093833780161
2008,september,5761,7,5968,96.53150134048258,0.11729222520107238
2009,april,3792,2,5968,63.53887399463807,0.03351206434316354
2009,august,5620,5,5968,94.16890080428955,0.08378016085790885
2009,december,1307,2,5968,21.90013404825737,0.03351206434316354
2009,february,1419,1,5968,23.776809651474533,0.01675603217158177
2009,january,1531,0,5968,25.653485254691688,0
2009,july,5913,7,5968,99.078418230563,0.11729222520107238
2009,june,4503,5,5968,75.4524128686327,0.08378016085790885
2009,march,2221,0,5968,37.215147453083105,0
2009,may,4001,0,5968,67.04088471849866,0
2009,november,2780,1,5968,46.58176943699732,0.01675603217158177
2009,october,3851,1,5968,64.52747989276139,0.01675603217158177
2009,september,5727,6,5968,95.96179624664879,0.10053619302949061
2010,april,3743,2,5968,62.71782841823056,0.03351206434316354
2010,august,5904,4,5968,98.92761394101876,0.06702412868632708
2010,december,1545,1,5968,25.888069705093837,0.01675603217158177
2010,february,1522,0,5968,25.50268096514745,0
2010,january,2059,18,5968,34.50067024128686,0.30160857908847183
2010,july,5868,11,5968,98.32439678284183,0.18431635388739945
2010,june,4389,69,5968,73.54222520107238,1.1561662198391423
2010,march,2098,2,5968,35.15415549597855,0.03351206434316354
2010,may,4035,4,5968,67.61058981233245,0.06702412868632708
2010,november,2721,1,5968,45.593163538873995,0.01675603217158177
2010,october,3294,29,5968,55.19436997319035,0.4859249329758713
